,Address,Baths,Beds,Bike Room,Building Class,Built Year,Cats Only - No Dogs,Cats and Dogs Allowed,Children's Playroom,City,Cold Storage,Community Recreation Facilities,Concierge,Crime,Deck,Doorman,Elevator,Full-time Doorman,Garage Parking,Garden,Green Building,Gym,Hot Tub,Interiors,Land Lease,Laundry in Building,Live-in Super,Media Room,NYC Storm Zone 1,NYC Storm Zone 2,NYC Storm Zone 3,NYC Storm Zone 4,NYC Storm Zone 5,NYC Storm Zone 6,Package Room,Parking Available,Part-time Doorman,Patio,Pets Allowed,Police,Price,Roof Deck,School District,SchoolScore,Smoke-free,Sqft,Storage Available,Stories,Swimming Pool,Units,Valet,Valet Parking,Virtual Doorman,Waterfront,Zipcode,latitude,longitude,std_crime,age,age_sq,Stories_sq,Stories_cubed,travel_minutes,travel_km,central_park_border_km,washington_sq_km,tompkins_sq_km,travel_minutes_grand_central,travel_km_grand_central,Borough,Sqft_sq
2942,429 Kent Avenue #TH8,4.5,4.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,3795000.0,True,District 14,0.2728,False,3283.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,10778089.0
2943,43 Clarkson Street #2/3/4A,3.5,4.0,False,RX,1900.0,False,False,False, New York,False,False,False,1568.0,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Police Precinct 6,10500000.0,False,District 2,1.7612,False,6471.0,False,6.0,False,6.0,False,False,False,False,10014.0,40.7297914,-74.0080199,0.312474614197,116.0,13456.0,36.0,216.0,12.35,4.644,4.80954848651,0.888304968705,2.24878728265,19.15,4.299,Manhattan,41873841.0
2944,43 East 32nd Street ,2.0,4.0,,B3,1910.0,,,, Brooklyn,,,,2306.0,,,,,,,,,,,,,,,,,,,,,,,,,,Police Precinct 67,510000.0,,District 17,-0.5765,,1200.0,,2.0,,2.0,,,,,11226.0,40.649883,-73.947254,1.54609156753,106.0,11236.0,4.0,8.0,24.85,12.269,12.90885387,9.94854867106,8.98627838776,38.18,20.638,Brooklyn,1440000.0
2945,43 Hawthorne Street ,5.0,7.0,,C2,1931.0,,,, Brooklyn,,,,1533.0,,,,,,,,,,,,,,,,,,,,,,,,,,Police Precinct 71,2500000.0,,District 17,-0.5765,,2365.0,,2.0,,6.0,,,,,11225.0,40.6575815,-73.9586428,0.253969745136,85.0,7225.0,4.0,8.0,20.52,11.191,11.9307521863,8.77846097407,7.89051508075,33.87,19.559,Brooklyn,5593225.0
2946,43 West 61st Street #22M,2.0,2.0,True,RM,1930.0,False,True,False, New York,False,False,True,933.0,False,False,True,True,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 20,1700000.0,False,District 3,1.6122,False,1220.0,False,27.0,False,94.0,False,False,False,False,10023.0,40.7704951,-73.9833032,-0.748970867334,86.0,7396.0,729.0,19683.0,24.47,11.646,0.254180192292,4.56391143564,4.89609494652,17.58,3.636,Manhattan,1488400.0
2947,43-02 223rd Street ,3.0,7.0,False,C0,1965.0,,,False, Bayside,False,False,False,865.0,False,,,,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,,False,,Police Precinct 111,1369000.0,False,District 26,2.397,False,3267.0,False,2.0,False,3.0,False,False,False,False,11361.0,40.763104,-73.759064,-0.86263747008,51.0,2601.0,4.0,8.0,35.92,35.418,16.4897173928,20.4614453626,19.2457247295,28.85,22.999,Queens,10673289.0
2948,430 East 56th Street #2F,1.0,1.0,True,D4,1955.0,False,True,False, New York,False,False,False,978.0,False,False,True,True,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 17,675000.0,False,District 2,1.7612,False,900.0,False,13.0,False,82.0,False,False,False,False,10022.0,40.75700745,-73.9624411536,-0.673750321398,61.0,3721.0,169.0,2197.0,14.38,9.446,1.22028459335,4.1530755705,3.76864266255,12.52,2.706,Manhattan,810000.0
2949,430 West 34th Street #10D,1.0,1.0,True,D4,1963.0,False,True,False, New York,False,False,False,1063.0,False,False,True,True,False,False,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 10,775000.0,True,District 2,1.7612,False,750.0,True,17.0,False,178.0,False,False,False,False,10001.0,40.7536833,-73.9975766,-0.531667067965,53.0,2809.0,289.0,4913.0,19.37,7.56,2.10288202122,2.53439269099,3.30869897306,11.65,2.555,Manhattan,562500.0
2950,430 West 34th Street #10H,1.0,2.0,True,D4,1963.0,False,True,False, New York,False,False,False,1063.0,False,False,True,True,False,False,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 10,798000.0,True,District 2,1.7612,False,815.0,True,17.0,False,178.0,False,False,False,False,10001.0,40.75369775,-73.9976498425,-0.531667067965,53.0,2809.0,289.0,4913.0,19.35,7.554,2.10564085478,2.53600028079,3.31266694879,11.63,2.549,Manhattan,664225.0
2951,430 West 34th Street #11D,1.0,1.0,True,D4,1963.0,False,True,False, New York,False,False,False,1063.0,False,False,True,True,False,False,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 10,639000.0,True,District 2,1.7612,False,800.0,True,17.0,False,178.0,False,False,False,False,10001.0,40.75369775,-73.9976498425,-0.531667067965,53.0,2809.0,289.0,4913.0,19.35,7.554,2.10564085478,2.53600028079,3.31266694879,11.63,2.549,Manhattan,640000.0
