,Address,Baths,Beds,Bike Room,Building Class,Built Year,Cats Only - No Dogs,Cats and Dogs Allowed,Children's Playroom,City,Cold Storage,Community Recreation Facilities,Concierge,Crime,Deck,Doorman,Elevator,Full-time Doorman,Garage Parking,Garden,Green Building,Gym,Hot Tub,Interiors,Land Lease,Laundry in Building,Live-in Super,Media Room,NYC Storm Zone 1,NYC Storm Zone 2,NYC Storm Zone 3,NYC Storm Zone 4,NYC Storm Zone 5,NYC Storm Zone 6,Package Room,Parking Available,Part-time Doorman,Patio,Pets Allowed,Police,Price,Roof Deck,School District,SchoolScore,Smoke-free,Sqft,Storage Available,Stories,Swimming Pool,Units,Valet,Valet Parking,Virtual Doorman,Waterfront,Zipcode,latitude,longitude,std_crime,age,age_sq,Stories_sq,Stories_cubed,travel_minutes,travel_km,central_park_border_km,washington_sq_km,tompkins_sq_km,travel_minutes_grand_central,travel_km_grand_central,Borough,Sqft_sq
942,56 Leonard Street 24B-WEST,3.5,3.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,25000,False,District 2,1.7612,False,2252.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,5071504.0
943,56 Leonard Street 28AWEST,2.5,2.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,14000,False,District 2,1.7612,False,1691.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,2859481.0
944,56 Leonard Street 28B-EAST,2.5,2.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,13000,False,District 2,1.7612,False,1668.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,2782224.0
945,56 Leonard Street 30BWEST,3.5,3.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,21000,False,District 2,1.7612,False,2177.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,4739329.0
946,56 Leonard Street 38B-EAST,2.5,2.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,17000,False,District 2,1.7612,False,1418.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,2010724.0
947,56 Leonard Street 40B-EAST,2.5,2.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,13500,False,District 2,1.7612,False,1418.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,2010724.0
948,56 Leonard Street 42B-EAST,2.5,2.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,13500,False,District 2,1.7612,False,1418.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,2010724.0
949,56 Leonard Street 43BEAST,2.5,2.0,False,,2015,False,True,True, New York,False,False,False,1389,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,Police Precinct 1,15000,False,District 2,1.7612,False,1418.0,False,60,True,146,False,False,False,False,10013,40.7176819,-74.0060133,0.0132639981433,1,1,3600,216000,10.38,3.357,5.89285194486,1.627035083,2.26637894946,23.53,5.708,Manhattan,2010724.0
951,111 Hudson Street #5,4.5,4.0,False,RM,1910,False,True,False, New York,False,False,False,1389,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Police Precinct 1,30000,False,District 2,1.7612,False,4100.0,False,6,False,9,False,False,False,False,10013,40.7196983,-74.0089453,0.0132639981433,106,11236,36,216,8.92,3.358,5.81967838507,1.56699745245,2.41410546343,21.3,5.361,Manhattan,16810000.0
952,81 Greene Street #3RDFLR,1.0,1.0,False,D0,1900,,,False, New York,False,False,False,1389,False,,,,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False,False,False,,False,,Police Precinct 1,8995,False,District 2,1.7612,False,2500.0,False,5,False,7,False,False,False,False,10012,40.7236928,-74.0007458,0.0132639981433,116,13456,25,125,14.75,3.366,5.09489560027,0.839237469659,1.63135804664,18.88,4.055,Manhattan,6250000.0
